BEZ;ID;DB_TAG;DB_NACHT;WOHNGEBAEUDE;STRASCHL-HSNR
Aachener Straße 1;33669;68;62;ja;1002-1
Aachener Straße 10;31309;68;61;ja;1002-10
Aachener Straße 101;21993;70;63;ja;1002-101
Aachener Straße 103;21986;70;62;ja;1002-103
Aachener Straße 105;21985;69;62;ja;1002-105
Aachener Straße 107;21980;70;62;ja;1002-107
Aachener Straße 11;30560;68;61;ja;1002-11
Aachener Straße 112;22461;70;62;ja;1002-112
Aachener Straße 113;21963;68;61;ja;1002-113
Aachener Straße 114;21987;69;62;ja;1002-114
Aachener Straße 115;21962;69;61;ja;1002-115
Aachener Straße 116;22459;69;62;ja;1002-116
Aachener Straße 117;21957;68;61;ja;1002-117
Aachener Straße 118;22456;70;62;ja;1002-118
Aachener Straße 119;22439;68;61;ja;1002-119
Aachener Straße 12;30595;67;61;ja;1002-12
Aachener Straße 120;22455;70;62;ja;1002-120
Aachener Straße 121;21951;68;61;ja;1002-121
Aachener Straße 122;22453;71;63;ja;1002-122
Aachener Straße 123;22437;68;61;ja;1002-123
Aachener Straße 124;22451;76;67;ja;1002-124
Aachener Straße 125;21947;69;61;ja;1002-125
Aachener Straße 126;21978;73;64;nein;1002-126
Aachener Straße 127;22434;69;61;ja;1002-127
Aachener Straße 129;21940;70;62;ja;1002-129
Aachener Straße 13;30550;68;61;ja;1002-13
Aachener Straße 131;21935;75;65;ja;1002-131
Aachener Straße 131;22421;73;64;nein;1002-
Aachener Straße 135;22413;72;63;ja;1002-135
Aachener Straße 14;31299;67;61;ja;1002-14
Aachener Straße 15;30546;68;61;ja;1002-15
Aachener Straße 152;22473;59;52;nein;1002-152
Aachener Straße 155;21917;69;62;ja;1002-155
Aachener Straße 157;22420;69;62;ja;1002-157
Aachener Straße 158;6067;60;54;nein;1002-158
Aachener Straße 159;22422;70;64;ja;1002-159
Aachener Straße 16;31290;67;61;ja;1002-16
Aachener Straße 160;6046;68;61;nein;1002-160
Aachener Straße 161;21232;68;61;ja;1002-161
Aachener Straße 163;21231;68;61;ja;1002-163
Aachener Straße 164;21237;67;61;nein;1002-164
Aachener Straße 165;20866;68;61;ja;1002-165
Aachener Straße 165a;20869;67;61;ja;1002-165a
Aachener Straße 166;20872;67;61;ja;1002-166
Aachener Straße 167;20863;66;59;ja;1002-167
Aachener Straße 169;20862;66;60;ja;1002-169
Aachener Straße 17;31284;67;61;ja;1002-17
Aachener Straße 170;20874;65;58;ja;1002-170
Aachener Straße 171;20859;66;60;ja;1002-171
Aachener Straße 172;20873;65;58;nein;1002-
Aachener Straße 172;20875;64;58;ja;1002-172
Aachener Straße 175;20855;67;60;ja;1002-175
Aachener Straße 176;21236;65;59;ja;1002-176
Aachener Straße 177;20853;67;60;ja;1002-177
Aachener Straße 178;20884;56;49;ja;1002-178
Aachener Straße 179;20842;66;59;ja;1002-179
Aachener Straße 180;21242;59;51;ja;1002-180
Aachener Straße 181;21213;63;56;ja;1002-181
Aachener Straße 182;21240;59;51;ja;1002-182
Aachener Straße 184;21238;59;51;ja;1002-184
Aachener Straße 186;20871;61;54;ja;1002-186
Aachener Straße 188;20870;65;58;ja;1002-188
Aachener Straße 188;21233;63;55;nein;1002-
Aachener Straße 19;30535;67;61;ja;1002-19
Aachener Straße 191;21201;69;61;ja;1002-191
Aachener Straße 193;21199;65;57;ja;1002-193
Aachener Straße 194;21228;64;55;ja;1002-194
Aachener Straße 195;20799;64;56;ja;1002-195
Aachener Straße 196;21223;65;56;ja;1002-196
Aachener Straße 197;20796;63;55;ja;1002-197
Aachener Straße 198;20848;65;56;ja;1002-198
Aachener Straße 199;20793;62;54;ja;1002-199
Aachener Straße 200;21218;65;57;ja;1002-200
Aachener Straße 201;20791;61;54;ja;1002-201
Aachener Straße 202;20837;67;58;ja;1002-202
Aachener Straße 203;20782;59;52;ja;1002-203
Aachener Straße 205;20785;61;54;ja;1002-205
Aachener Straße 206;21204;66;59;ja;1002-206
Aachener Straße 207;21188;62;54;ja;1002-207
Aachener Straße 207a;20787;62;55;ja;1002-207a
Aachener Straße 208;20808;69;62;ja;1002-208
Aachener Straße 209;20789;63;56;ja;1002-209
Aachener Straße 21;30524;68;61;nein;1002-21
Aachener Straße 210;20266;68;62;ja;1002-210
Aachener Straße 211;20971;64;56;ja;1002-211
Aachener Straße 212;20263;69;62;ja;1002-212
Aachener Straße 213;20974;64;57;ja;1002-213
Aachener Straße 214;20262;69;62;ja;1002-214
Aachener Straße 215;20252;65;58;ja;1002-215
Aachener Straße 216;20261;69;62;ja;1002-216
Aachener Straße 217;20255;66;59;ja;1002-217
Aachener Straße 218;20981;67;60;ja;1002-218
Aachener Straße 219;20257;67;60;ja;1002-219
Aachener Straße 22;31289;67;61;ja;1002-22
Aachener Straße 220;20979;67;60;ja;1002-220
Aachener Straße 221;20973;67;61;ja;1002-221
Aachener Straße 222;20259;67;60;ja;1002-222
Aachener Straße 224;20256;67;60;ja;1002-224
Aachener Straße 225;20969;67;60;ja;1002-225
Aachener Straße 226;20251;67;60;ja;1002-226
Aachener Straße 227;20247;67;60;ja;1002-227
Aachener Straße 228;20972;67;60;ja;1002-228
Aachener Straße 229;20967;67;60;ja;1002-229
Aachener Straße 230;20249;67;60;ja;1002-230
Aachener Straße 231;20242;67;60;ja;1002-231
Aachener Straße 232;20968;67;60;ja;1002-232
Aachener Straße 232a;20243;66;60;ja;1002-232a
Aachener Straße 233;20240;67;60;ja;1002-233
Aachener Straße 234;20238;66;60;ja;1002-234
Aachener Straße 235;20966;67;60;ja;1002-235
Aachener Straße 236;20965;66;60;ja;1002-236
Aachener Straße 237;20237;67;60;ja;1002-237
Aachener Straße 238;20964;66;60;ja;1002-238
Aachener Straße 238a;20229;67;60;ja;1002-238a
Aachener Straße 239;20235;67;60;ja;1002-239
Aachener Straße 24;30549;67;61;ja;1002-24
Aachener Straße 240;20223;67;60;ja;1002-240
Aachener Straße 241;20234;67;60;ja;1002-241
Aachener Straße 242;20220;67;60;ja;1002-242
Aachener Straße 243;20231;67;60;ja;1002-243
Aachener Straße 244;20217;67;60;ja;1002-244
Aachener Straße 245;20228;67;60;ja;1002-245
Aachener Straße 246;20214;67;60;ja;1002-246
Aachener Straße 247;20222;66;59;ja;1002-247
Aachener Straße 249;20219;66;60;ja;1002-249
Aachener Straße 25;31273;67;61;ja;1002-25
Aachener Straße 251;123018;66;60;ja;1002-251
Aachener Straße 252;20958;64;57;ja;1002-252
Aachener Straße 253;20213;66;60;ja;1002-253
Aachener Straße 254;20202;65;58;ja;1002-254
Aachener Straße 255;20212;66;60;ja;1002-255
Aachener Straße 256;20950;65;58;ja;1002-256
Aachener Straße 257;123017;66;60;ja;1002-257
Aachener Straße 258;20185;65;58;ja;1002-258
Aachener Straße 259;123016;66;60;ja;1002-259
Aachener Straße 26;30542;67;61;ja;1002-26
Aachener Straße 260;20170;65;58;ja;1002-260
Aachener Straße 261;122193;66;60;ja;1002-261
Aachener Straße 263;123014;67;60;ja;1002-263
Aachener Straße 267;20197;66;60;ja;1002-267
Aachener Straße 269;20196;67;60;ja;1002-269
Aachener Straße 27;30511;67;61;ja;1002-27
Aachener Straße 271;20949;67;60;ja;1002-271
Aachener Straße 273;20946;67;60;ja;1002-273
Aachener Straße 275;128670;67;60;ja;1002-275
Aachener Straße 277;128669;67;60;ja;1002-277
Aachener Straße 28;31283;66;59;ja;1002-28
Aachener Straße 29;30506;68;61;ja;1002-29
Aachener Straße 3;120120;68;61;ja;1002-3
Aachener Straße 30;31280;67;60;ja;1002-30
Aachener Straße 31;31266;68;61;ja;1002-31
Aachener Straße 32;120087;67;61;ja;1002-32
Aachener Straße 32a;30527;67;60;ja;1002-32a
Aachener Straße 33;30496;68;61;ja;1002-33
Aachener Straße 34;31274;67;61;ja;1002-34
Aachener Straße 35;30489;68;61;ja;1002-35
Aachener Straße 36;31272;67;60;ja;1002-36
Aachener Straße 37;30485;69;62;ja;1002-37
Aachener Straße 38;30509;67;60;ja;1002-38
Aachener Straße 39;31262;69;62;ja;1002-39
Aachener Straße 39;31263;69;62;ja;1002-39
Aachener Straße 39a;31247;43;36;nein;1002-39a
Aachener Straße 44;31258;68;61;ja;1002-44
Aachener Straße 45;30438;70;63;ja;1002-45
Aachener Straße 46;30455;68;61;ja;1002-46
Aachener Straße 47;31245;69;63;ja;1002-47
Aachener Straße 48;31252;68;61;ja;1002-48
Aachener Straße 49;30428;69;63;ja;1002-49
Aachener Straße 5;32839;68;61;ja;1002-5
Aachener Straße 50;31250;68;61;ja;1002-50
Aachener Straße 51;31238;69;63;ja;1002-53
Aachener Straße 52;30444;67;61;ja;1002-52
Aachener Straße 54;30437;67;61;ja;1002-54
Aachener Straße 57;30393;70;62;ja;1002-57
Aachener Straße 58;30424;68;61;ja;1002-58
Aachener Straße 6;31312;68;62;ja;1002-6
Aachener Straße 61;30367;70;63;ja;1002-61
Aachener Straße 62;31227;71;63;ja;1002-62
Aachener Straße 63;30363;70;63;ja;1002-63
Aachener Straße 65;30358;70;63;ja;1002-65
Aachener Straße 67;30350;70;62;ja;1002-67
Aachener Straße 69;30346;70;62;ja;1002-69
Aachener Straße 7;30573;68;61;ja;1002-7
Aachener Straße 70;31213;69;62;nein;1002-70
Aachener Straße 71;22066;69;62;ja;1002-71
Aachener Straße 75;22047;69;62;ja;1002-75
Aachener Straße 77;22050;69;62;ja;1002-77
Aachener Straße 8;30610;68;61;ja;1002-8
Aachener Straße 81;22043;69;62;ja;1002-81
Aachener Straße 83;22472;69;62;ja;1002-83
Aachener Straße 85;22030;69;63;ja;1002-85
Aachener Straße 87;120014;69;63;ja;1002-87
Aachener Straße 89;22023;69;63;ja;1002-89
Aachener Straße 9;31291;67;61;ja;1002-9
Aachener Straße 90;30334;69;62;ja;1002-90
Aachener Straße 91;22015;69;63;ja;1002-91
